model,acc_mean,acc_std,auc_mean,auc_std
ExtraTrees,0.8249180327868851,0.05699414257811097,0.9159050825717493,0.038305083924889884
RandomForest,0.8218032786885245,0.04787533953100045,0.9061327561327562,0.04654331195930691
SVC_RBF,0.8218579234972678,0.037597852266163016,0.8926326759660093,0.05252844098986674
LogReg,0.8317486338797814,0.04551240118528241,0.8854577521244188,0.04843544945797405
HistGB,0.7987978142076502,0.043963981576658165,0.8829645662978995,0.03520542927340793
KNN,0.7851912568306011,0.06762510897919519,0.8737654320987656,0.04856943161254435
DecisionTree,0.7389617486338798,0.04291256517470253,0.7352453102453103,0.04999313387715728
